"10","11","1285","2268","3371"
"CLCN7","CCPG1",NA,NA,NA
"TELO2","LACTB",NA,NA,NA
"NUBP2","CSNK1G1",NA,NA,NA
"TBL3","ANP32A",NA,NA,NA
"TSC2","PARP6",NA,NA,NA
"MLST8","FAM219B",NA,NA,NA
"THOC6","MAN2C1",NA,NA,NA
"NLRC3","IMP3",NA,NA,NA
"TRAP1","TSPAN3",NA,NA,NA
"CLEC16A","HMG20A",NA,NA,NA
"MRTFB","DNAJA4",NA,NA,NA
"PDXDC1","AEN",NA,NA,NA
"CCP110","ISG20",NA,NA,NA
"MOSMO","HAPLN3",NA,NA,NA
"CDR2","SEMA4B",NA,NA,NA
"TNRC6A","NGRN",NA,NA,NA
"APOBR","SNRPA1",NA,NA,NA
"SPN","MPG",NA,NA,NA
"KIF22","RHOT2",NA,NA,NA
"SEPTIN1","STUB1",NA,NA,NA
"RNF40","CIAO3",NA,NA,NA
"ADGRG1","CLCN7",NA,NA,NA
"KATNB1","TELO2",NA,NA,NA
"USB1","NUBP2",NA,NA,NA
"CNOT1","TBL3",NA,NA,NA
"E2F4","TSC2",NA,NA,NA
"CARMIL2","MLST8",NA,NA,NA
"ACD","THOC6",NA,NA,NA
"RANBP10","TRAP1",NA,NA,NA
"CENPT","MGRN1",NA,NA,NA
"THAP11","CARHSP1",NA,NA,NA
"EDC4","ATF7IP2",NA,NA,NA
"PSMB10","CLEC16A",NA,NA,NA
"DDX28","MRTFB",NA,NA,NA
"SLC7A6","PDXDC1",NA,NA,NA
"PRMT7","ARL6IP1",NA,NA,NA
"UTP4","MOSMO",NA,NA,NA
"NFAT5","TNRC6A",NA,NA,NA
"AARS1","APOBR",NA,NA,NA
"ST3GAL2","SPN",NA,NA,NA
"CMIP","C16orf54",NA,NA,NA
"MPHOSPH6","KIF22",NA,NA,NA
"HSDL1","SEPTIN1",NA,NA,NA
"FBXO31","RNF40",NA,NA,NA
"CYBA","CNEP1R1",NA,NA,NA
"MVD","ADGRG1",NA,NA,NA
"RNF166","KATNB1",NA,NA,NA
"PIEZO1","CNOT1",NA,NA,NA
"ABR","E2F4",NA,NA,NA
"INPP5K","FHOD1",NA,NA,NA
"RPA1","CARMIL2",NA,NA,NA
"MNT","ACD",NA,NA,NA
"ATP2A3","RANBP10",NA,NA,NA
"MYBBP1A","CENPT",NA,NA,NA
"ARRB2","THAP11",NA,NA,NA
"C1QBP","EDC4",NA,NA,NA
"DLG4","PSMB10",NA,NA,NA
"ACADVL","DDX28",NA,NA,NA
"ELP5","SLC7A6",NA,NA,NA
"KDM6B","PRMT7",NA,NA,NA
"CTC1","UTP4",NA,NA,NA
"ADPRM","NFAT5",NA,NA,NA
"ELAC2","ST3GAL2",NA,NA,NA
"COX10","CMIP",NA,NA,NA
"TRPV2","MPHOSPH6",NA,NA,NA
"ZNF287","HSDL1",NA,NA,NA
"LGALS9","FBXO31",NA,NA,NA
"ERAL1","CYBA",NA,NA,NA
"NUFIP2","MVD",NA,NA,NA
"NF1","RNF166",NA,NA,NA
"EVI2B","PIEZO1",NA,NA,NA
"EVI2A","CBFA2T3",NA,NA,NA
